sample,species,relab
1361G,Enterococcus_faecium,0.9951904761044436
1361I,Enterococcus_faecalis,1.3582516170452077e-4
1361I,Enterococcus_faecium,0.30553776810435357
1361J,Enterococcus_faecium,0.9124021666754987
1361K,Enterococcus_faecium,0.992269749664881
1361L,Enterococcus_faecium,0.9185890274062811
1361W,Enterococcus_faecium,0.0338754364484811
1361X,Enterococcus_faecium,0.07549987053932626
1364V,Enterococcus_avium,3.807486476123382e-5
1364V,Enterococcus_faecalis,0.0056543510051705916
1364V,Enterococcus_faecium,9.01650171646396e-4
1366C,Enterococcus_faecalis,2.9894648096343674e-4
1366C,Enterococcus_gallinarum,4.013294256931977e-5
1366D,Enterococcus_faecalis,1.0222740673956927e-4
1366D,Enterococcus_gallinarum,1.5012977796046692e-4
1366E,Enterococcus_faecalis,2.1180449940044792e-4
1366E,Enterococcus_faecium,1.1469557729266133e-4
1366E,Enterococcus_gallinarum,3.5234481344305563e-4
1366F,Enterococcus_faecalis,0.00290377168376381
1366F,Enterococcus_faecium,2.7252807675588566e-5
1366F,Enterococcus_gallinarum,8.23573858328226e-6
1366G,Enterococcus_faecalis,0.03418121569357729
1366G,Enterococcus_faecium,0.04271671323970709
1366H,Enterococcus_faecalis,0.026979431971986465
1366H,Enterococcus_faecium,0.07644671923272006
1366I,Enterococcus_faecalis,0.0343918846397553
1366I,Enterococcus_faecium,0.35286128668276096
1366J,Enterococcus_faecalis,0.0387966912419463
1366J,Enterococcus_faecium,0.29887334882427824
1366K,Enterococcus_faecalis,0.13037094849635456
1366K,Enterococcus_faecium,0.5065974787279279
1366L,Enterococcus_faecalis,0.3869936547038146
1366L,Enterococcus_faecium,0.2862755022471963
1366M,Enterococcus_faecalis,0.05063511195725045
1366M,Enterococcus_faecium,0.7873836085773693
1366N,Enterococcus_faecalis,0.04333599635461975
1366N,Enterococcus_faecium,0.5591900864594245
1366O,Enterococcus_faecalis,0.03582192404421495
1366O,Enterococcus_faecium,0.5954707440547832
1366P,Enterococcus_faecalis,0.09099908916283249
1366P,Enterococcus_faecium,0.17700066356008215
1366Q,Enterococcus_faecalis,0.07015798073968685
1366Q,Enterococcus_faecium,0.29662809510811394
1366S,Enterococcus_faecalis,0.003730889189461715
1366S,Enterococcus_faecium,0.3678928821032061
1366U,Enterococcus_faecalis,0.0025154502433724735
1366U,Enterococcus_faecium,0.2995102769675543
1371C,Enterococcus_faecium,4.041723095419326e-5
1431C,Enterococcus_faecalis,7.127300991972371e-5
1431C,Enterococcus_faecium,0.0076531075368518435
1431G,Enterococcus_faecium,0.967735850973314
1432D,Enterococcus_faecium,0.996704732611847
1432E,Enterococcus_faecium,0.999454224928577
1432G,Enterococcus_faecium,0.8511771245036351
1432H,Enterococcus_faecium,0.9965106758771265
1432I,Enterococcus_faecium,0.964443789663663
1432K,Enterococcus_faecium,0.9951143818353826
1432L,Enterococcus_faecium,0.9957137129526537
1432O,Enterococcus_faecium,0.9305180364570268
1461AA,Enterococcus_casseliflavus,0.008358826209785683
1461AA,Enterococcus_faecalis,0.6414742002898138
1461AA,Enterococcus_faecium,0.0015502549577162236
1461AA,Enterococcus_gallinarum,1.0770032341582e-4
1461CC,Enterococcus_casseliflavus,0.008229133778905858
1461CC,Enterococcus_dispar,6.522706107497631e-4
1461CC,Enterococcus_durans,9.379470152141366e-5
1461CC,Enterococcus_faecalis,0.22782542230666927
1461CC,Enterococcus_faecium,0.007416617305217816
1461CC,Enterococcus_gallinarum,0.01516723913229409
1461D,Enterococcus_canintestini,0.001733399731144114
1461D,Enterococcus_casseliflavus,5.763350065883002e-4
1461D,Enterococcus_faecalis,0.0023059678422645167
1461D,Enterococcus_faecium,0.972958085251876
1461DD,Enterococcus_casseliflavus,0.014529468651716407
1461DD,Enterococcus_dispar,0.004901256529009772
1461DD,Enterococcus_durans,1.2406305589055985e-5
1461DD,Enterococcus_faecalis,0.1697314325852076
1461DD,Enterococcus_faecium,0.008354804410763281
1461DD,Enterococcus_gallinarum,0.03088649333168733
1461F,Enterococcus_faecalis,4.5206294866836184e-4
1461F,Enterococcus_faecium,0.974654300769988
1461G,Enterococcus_faecium,0.9957178906698712
1461H,Enterococcus_faecium,9.411646267187753e-6
1461K,Enterococcus_faecalis,4.961331943104709e-4
1461L,Enterococcus_faecalis,0.12273517424167354
1461L,Enterococcus_faecium,5.92494764263179e-6
1461N,Enterococcus_faecalis,0.05717301465496491
1461O,Enterococcus_faecalis,0.038204332060208006
1461P,Enterococcus_faecalis,0.043253609974456424
1461Q,Enterococcus_faecalis,0.0018208732090450824
1461R,Enterococcus_faecalis,1.7693317536615272e-4
1461S,Enterococcus_faecalis,9.977304746071366e-5
1461T,Enterococcus_faecalis,5.746717369309796e-4
1461U,Enterococcus_faecalis,2.0504441184413154e-4
1461V,Enterococcus_faecalis,3.571008991655348e-4
1461W,Enterococcus_faecalis,3.2412391492790265e-4
1461X,Enterococcus_cecorum,2.599818035344639e-6
1461X,Enterococcus_faecalis,4.8266187004007e-5
1461Y,Enterococcus_faecalis,1.0204819558559402e-4
1461Z,Enterococcus_faecalis,1.6323757128176638e-6
1461Z,Enterococcus_faecium,4.897127138452992e-6
1493B,Enterococcus_faecalis,3.173519279676784e-6
1493B,Enterococcus_faecium,0.0010973810805723718
1493B,Enterococcus_gallinarum,2.2356896166826447e-4
1493C,Enterococcus_faecium,2.750593641452254e-4
1493D,Enterococcus_faecium,0.002676056153157163
1493E,Enterococcus_faecium,0.9240337892273395
1493F,Enterococcus_faecalis,1.4997358114639585e-5
1493F,Enterococcus_faecium,0.9095646994423111
1493G,Enterococcus_faecalis,5.0195012610250385e-5
1493G,Enterococcus_faecium,0.9341287414536901
1493H,Enterococcus_faecalis,0.002589894229015888
1493H,Enterococcus_faecium,0.7663277650915954
1493K,Enterococcus_faecium,0.9889442728974196
1493L,Enterococcus_faecium,0.5424394311168722
1493M,Enterococcus_faecium,0.4463846765253536
1498I,Enterococcus_gallinarum,0.8927615061022949
1513B,Enterococcus_faecalis,8.256305356278095e-6
1513C,Enterococcus_faecalis,2.4287821966795287e-5
1513P,Enterococcus_faecium,4.485439101505152e-4
1513P,Enterococcus_hirae,0.0636526645148356
1513Q,Enterococcus_casseliflavus,1.8299999999999998e-5
1513Q,Enterococcus_faecium,2.2199999999999998e-4
1513Q,Enterococcus_hirae,0.21066369999999995
1521C,Enterococcus_durans,5.308328079579724e-4
1521C,Enterococcus_faecalis,2.497358518759705e-4
1521C,Enterococcus_faecium,6.676917443276757e-4
1521C,Enterococcus_gallinarum,5.561984069481448e-4
1521D,Enterococcus_durans,4.4499986650004016e-5
1521D,Enterococcus_faecium,0.03488038953588315
1521D,Enterococcus_gallinarum,1.1329996601001024e-4
1521E,Enterococcus_faecium,0.0893135477099793
1521F,Enterococcus_faecium,0.04177906151435924
1521H,Enterococcus_faecium,0.00853356567718841
1521L,Enterococcus_faecium,0.09492287843357275
1521M,Enterococcus_faecium,0.16530575948731482
1521N,Enterococcus_faecium,0.112412874341116
1546A,Enterococcus_faecium,0.145469514791162
1546B,Enterococcus_faecium,0.07865041357020984
1546C,Enterococcus_faecium,0.039271246073763304
1546D,Enterococcus_faecium,0.15392186201994693
1546E,Enterococcus_faecium,0.20103013276286685
1546F,Enterococcus_faecium,0.5114716853189051
1546G,Enterococcus_faecium,0.8386682075358908
1546H,Enterococcus_faecium,0.6027325111860852
1546I,Enterococcus_casseliflavus,0.02497387940873381
1546I,Enterococcus_faecium,0.08629532015023579
1546I,Enterococcus_gilvus,2.46503726138586e-5
1546J,Enterococcus_casseliflavus,0.02505266110167554
1546J,Enterococcus_faecium,0.027411671978763253
1574B,Enterococcus_asini,0.0939277806726281
1574B,Enterococcus_avium,0.008168595806787481
1574B,Enterococcus_casseliflavus,6.58208551008499e-4
1574B,Enterococcus_dispar,6.198774595740148e-4
1574B,Enterococcus_faecalis,2.767776356985913e-5
1574B,Enterococcus_faecium,6.605063276067515e-4
1574B,Enterococcus_gallinarum,0.09747429440763991
1574B,Enterococcus_gilvus,5.000797432923981e-4
1574C,Enterococcus_asini,0.041656223541842154
1574C,Enterococcus_avium,0.012220720818750709
1574C,Enterococcus_casseliflavus,0.0016191832922775793
1574C,Enterococcus_dispar,0.010676092847197937
1574C,Enterococcus_faecalis,9.4235426335126e-5
1574C,Enterococcus_faecium,8.023027181349676e-4
1574C,Enterococcus_gallinarum,0.05095231406283078
1574C,Enterococcus_gilvus,2.0252807096333706e-4
1574D,Enterococcus_asini,8.290088587029849e-4
1574D,Enterococcus_avium,2.9651795928077796e-4
1574D,Enterococcus_casseliflavus,1.1294953150365944e-5
1574D,Enterococcus_dispar,3.4261357889443355e-4
1574D,Enterococcus_faecalis,4.5688594274903674e-5
1574D,Enterococcus_faecium,0.08107262980495952
1574D,Enterococcus_gallinarum,0.0031174070695010004
1574E,Enterococcus_faecalis,3.08820007550347e-4
1574E,Enterococcus_gallinarum,1.0389413230324067e-5
1574F,Enterococcus_avium,9.326692590036004e-5
1574F,Enterococcus_faecalis,0.1785866806746681
1574F,Enterococcus_faecium,0.5298809095349163
1574F,Enterococcus_gilvus,0.0028315838703349312
1574G,Enterococcus_avium,0.0010644000000000003
1574G,Enterococcus_faecalis,0.19255280000000002
1574G,Enterococcus_faecium,0.26436050000000005
1574G,Enterococcus_gilvus,0.030168100000000003
1574H,Enterococcus_avium,2.3432793470175164e-6
1574H,Enterococcus_faecalis,0.1868216738853872
1574H,Enterococcus_faecium,0.5381815001930009
1574H,Enterococcus_gallinarum,0.018189386393130693
1574H,Enterococcus_gilvus,0.04902300163007032
1574I,Enterococcus_avium,8.40394850550747e-4
1574I,Enterococcus_casseliflavus,0.1975352275688948
1574I,Enterococcus_faecalis,0.19806355536961087
1574I,Enterococcus_faecium,0.4255606490308775
1574I,Enterococcus_gallinarum,0.013803287163413398
1574I,Enterococcus_gilvus,0.05016134895268927
1574I,Enterococcus_malodoratus,1.7382306141205196e-4
1574K,Enterococcus_avium,0.05702180521520724
1574K,Enterococcus_casseliflavus,0.08155295568456684
1574K,Enterococcus_faecalis,0.040950121618650186
1574K,Enterococcus_faecium,0.6733429600596649
1574K,Enterococcus_gallinarum,0.00628268572063301
1574K,Enterococcus_gilvus,0.020846547413138454
1630A,Enterococcus_asini,0.0014092493490228248
1630A,Enterococcus_casseliflavus,1.8424393550248419e-6
1630A,Enterococcus_faecalis,5.6356968506642215e-6
1630A,Enterococcus_faecium,0.008342565399552483
1630A,Enterococcus_sp_CU9D,8.605275575821908e-5
1630B,Enterococcus_asini,8.727923548614591e-5
1630B,Enterococcus_faecium,0.00488122483522927
1630D,Enterococcus_faecium,2.4806388305770262e-5
1630F,Enterococcus_faecium,0.12138318517209312
1630G,Enterococcus_faecium,0.2776563454528595
1630H,Enterococcus_faecium,0.0336360615745978
1630I,Enterococcus_faecium,0.056353177411838117
1645H,Enterococcus_faecium,0.0022801655034181004
1687B,Enterococcus_faecalis,1.0781004058344917e-5
1687C,Enterococcus_faecalis,6.448511566284838e-5
1687D,Enterococcus_faecalis,3.658129517855665e-4
1687E,Enterococcus_faecalis,0.023404106857528632
1687G,Enterococcus_faecium,7.347525980589048e-5
1687J,Enterococcus_cecorum,0.005532683385377816
1687J,Enterococcus_faecium,1.7740935955975343e-4
1687N,Enterococcus_faecium,0.03652945748809845
1687O,Enterococcus_faecium,0.3015057651058039
1711L,Enterococcus_faecalis,1.3022272349647781e-5
1711L,Enterococcus_faecium,0.9839226795088553
1711M,Enterococcus_durans,0.010215564258754773
1711M,Enterococcus_faecalis,0.06271653144026701
1711M,Enterococcus_faecium,0.8662624987426124
1711N,Enterococcus_durans,0.011263568599059874
1711N,Enterococcus_faecalis,0.06832704713847212
1711N,Enterococcus_faecium,0.5936818192005925
1713C,Enterococcus_avium,0.004489777999245694
1713C,Enterococcus_faecalis,4.401412898452777e-5
1713C,Enterococcus_faecium,9.64717847538425e-4
1713E,Enterococcus_avium,0.013720639157976106
1713E,Enterococcus_faecalis,0.00125251953269831
1713F,Enterococcus_avium,0.026863832811313326
1713F,Enterococcus_faecalis,0.0015024867375887333
1713G,Enterococcus_faecium,0.8857170042110393
1713H,Enterococcus_faecium,0.990213244484366
1713I,Enterococcus_avium,5.842540543155178e-6
1713I,Enterococcus_faecium,0.9886680529339608
1713M,Enterococcus_faecium,1
1713N,Enterococcus_faecium,0.9999788942814558
1713O,Enterococcus_faecalis,0.4459263309867403
1713O,Enterococcus_faecium,0.4447939771952895
1713O,Enterococcus_gallinarum,0.002762638336871012
1713Q,Enterococcus_faecalis,0.03689095650755191
1713Q,Enterococcus_faecium,0.09416654379519328
1713Q,Enterococcus_gallinarum,0.00450900305886633
1742H,Enterococcus_avium,8.664197141828049e-5
1742H,Enterococcus_faecium,8.569218123220922e-5
1758A,Enterococcus_avium,1.6915626265821606e-4
1758A,Enterococcus_faecalis,3.1385120302026854e-4
1758A,Enterococcus_raffinosus,6.527856263611793e-4
1758B,Enterococcus_avium,3.0172583675274676e-4
1758B,Enterococcus_faecalis,2.2454270362114788e-4
1758B,Enterococcus_gallinarum,3.5843628067071584e-4
1758B,Enterococcus_raffinosus,0.0016381435759547714
1758C,Enterococcus_avium,7.051844089283184e-5
1758C,Enterococcus_faecalis,1.8163840836032442e-5
1758C,Enterococcus_gallinarum,7.18005943636106e-5
1758C,Enterococcus_raffinosus,0.0019422488159846925
1758D,Enterococcus_faecalis,6.153852423690699e-4
1758D,Enterococcus_faecium,0.0010015292934582708
1758D,Enterococcus_raffinosus,0.20286809597700378
1758E,Enterococcus_faecalis,3.232965668188008e-4
1758E,Enterococcus_faecium,0.00201747082394678
1758E,Enterococcus_raffinosus,0.08275612411692142
1758H,Enterococcus_raffinosus,0.009614756262448896
1772L,Enterococcus_faecium,0.5031008002290893
1772M,Enterococcus_faecalis,0.003253223364172733
1772M,Enterococcus_faecium,0.0333029282912529
1772N,Enterococcus_faecalis,0.0741732415852671
1772N,Enterococcus_faecium,0.12955912671204178
1773L,Enterococcus_faecium,5.06362997844867e-4
1773P,Enterococcus_faecium,6.375625945988003e-5
1776G,Enterococcus_casseliflavus,0.0030765732883708337
1776G,Enterococcus_faecalis,5.385128281448705e-4
1776G,Enterococcus_faecium,0.012273506658176465
1776H,Enterococcus_casseliflavus,0.006524386284857688
1776H,Enterococcus_faecalis,0.0014551920454817285
1776H,Enterococcus_faecium,0.3101320095547169
1776H,Enterococcus_gallinarum,5.520047477420318e-4
2142J,Enterococcus_faecium,0.9975810507755776
2142K,Enterococcus_faecalis,9.677530847129574e-6
2142K,Enterococcus_faecium,0.9951564489842579
2142L,Enterococcus_faecium,0.9979852639291519
2142M,Enterococcus_faecalis,1.6198439408245436e-5
2142M,Enterococcus_faecium,0.9944669541179205
2149D,Enterococcus_faecalis,0.14409392298978765
2149D,Enterococcus_gallinarum,2.9847790826681885e-5
2149H,Enterococcus_faecalis,0.05281822864968777
2149H,Enterococcus_faecium,5.9802427277832176e-5
2163E,Enterococcus_faecalis,8.153212104411567e-5
2163E,Enterococcus_faecium,0.9902132154141066
2163F,Enterococcus_faecalis,4.002727002563675e-5
2163F,Enterococcus_faecium,0.9961481153140601
2163G,Enterococcus_faecalis,4.021730407827724e-4
2163G,Enterococcus_faecium,0.9823622394040001
2163M,Enterococcus_faecium,3.696043805373012e-5
2180C,Enterococcus_faecalis,0.9269721780916534
2180C,Enterococcus_faecium,0.02838100851430255
2231F,Enterococcus_faecium,6.925770758593202e-5
2231G,Enterococcus_faecium,1.8695313409577367e-5
2231H,Enterococcus_faecium,0.002693375883513693
2231L,Enterococcus_faecium,0.02305882304252168
2231M,Enterococcus_faecium,0.9961836423373287
2502G,Enterococcus_faecalis,0.7461011088129106
2502G,Enterococcus_faecium,0.251486661201384
2502G,Enterococcus_mundtii,4.209717283394144e-4
2502I,Enterococcus_faecalis,0.006361398727720255
2502I,Enterococcus_faecium,0.050853389829322033
2502I,Enterococcus_mundtii,1.2919997416000514e-4
2505F,Enterococcus_faecalis,0.003290766356986304
2505F,Enterococcus_faecium,5.96330563735042e-5
2505F,Enterococcus_gallinarum,1.0517314434623885e-4
2508D,Enterococcus_faecium,0.7962400434951414
2519C,Enterococcus_faecalis,0.0040154318805380425
2552M,Enterococcus_faecalis,0.4519689325633079
2552M,Enterococcus_faecium,0.07698630376921176
2558G,Enterococcus_faecalis,0.018777537632811158
2558G,Enterococcus_faecium,0.028053157533398047
2614E,Enterococcus_casseliflavus,0.11181618546191559
2614E,Enterococcus_faecium,0.0029511860306947893
2614E,Enterococcus_mundtii,0.8527519379590098
2704B,Enterococcus_faecalis,0.003780262457327192
2704B,Enterococcus_faecium,0.6254964741481697
2991B,Enterococcus_faecalis,0.041525013097501576
2998B,Enterococcus_avium,7.638359594151246e-6
2998B,Enterococcus_gallinarum,0.0011833264106398634
2998C,Enterococcus_gallinarum,0.0013747618513952706
2998C,Enterococcus_hirae,1.769584220553625e-4
2998D,Enterococcus_avium,4.7087371057065274e-5
2998D,Enterococcus_durans,2.5744029970451576e-5
2998D,Enterococcus_gallinarum,5.145505477427436e-4
2998D,Enterococcus_hirae,0.004676172007966127
3203B,Enterococcus_faecalis,0.5217837455557374
FMT.0100M,Enterococcus_faecium,2.1859477120375102e-4
FMT.0100P,Enterococcus_faecalis,0.30640534960576776
FMT.0100P,Enterococcus_faecium,0.679794639629691
FMT.0160N,Enterococcus_faecium,0.9968333447411014
FMT.0160O,Enterococcus_faecium,0.9628378271672066
FMT.0161D,Enterococcus_faecium,0.1815453585289283
FMT.0161K,Enterococcus_faecalis,1.7225951955857058e-4
FMT.0161N,Enterococcus_faecalis,3.928322381397309e-5
FMT.0161P,Enterococcus_faecium,3.314960700433913e-5
FMT.0161S,Enterococcus_faecium,0.859874225114286
FMT.0161T,Enterococcus_casseliflavus,3.206177979443449e-4
FMT.0161T,Enterococcus_faecalis,0.21891038554178718
FMT.0161U,Enterococcus_casseliflavus,0.0013191548900993602
FMT.0161U,Enterococcus_durans,3.951486279650951e-4
FMT.0161U,Enterococcus_faecalis,0.1355119508603882
FMT.0161U,Enterococcus_faecium,2.3108779232174605e-5
FMT.0161V,Enterococcus_casseliflavus,0.0039041085111826976
FMT.0161V,Enterococcus_durans,2.038781137602573e-4
FMT.0161V,Enterococcus_faecalis,0.07939869361805553
FMT.0165B,Enterococcus_avium,1.810538283981325e-4
FMT.0165B,Enterococcus_casseliflavus,0.0017445094901183532
FMT.0165J,Enterococcus_casseliflavus,4.224412166959292e-4
FMT.0167B,Enterococcus_faecalis,0.010551406641979571
FMT.0168D,Enterococcus_faecium,4.142043369403164e-6
FMT.0173N,Enterococcus_avium,3.967023509876674e-5
FMT.0182D,Enterococcus_faecium,0.0010689286282281583
FMT.0182G,Enterococcus_faecium,0.9088801091119889
FMT.0182H,Enterococcus_faecium,0.9499711517944163
FMT.0191C,Enterococcus_faecium,0.31809624206496667
FMT.0191H,Enterococcus_faecium,0.7492918457553441
FMT.0191K,Enterococcus_faecium,0.9969738571968629
FMT.0191L,Enterococcus_faecium,0.9024336161349746
FMT.0211C,Enterococcus_faecalis,0.001308787871414859
FMT.0211C,Enterococcus_faecium,1.440489795582392e-5
FMT.0212C,Enterococcus_faecium,0.7464196977111023
FMT.0212F,Enterococcus_faecium,0.9908126860275408
FMT.0215H,Enterococcus_faecalis,0.028775874605351606
FMT.0215I,Enterococcus_faecalis,0.2730711577803096
FMT.0215J,Enterococcus_faecalis,0.23751564750312945
FMT.0217D,Enterococcus_casseliflavus,4.897565445749252e-5
FMT.0217D,Enterococcus_faecium,1.8418095645507257e-4
FMT.0217D,Enterococcus_gallinarum,9.284484257344555e-7
FMT.0217K,Enterococcus_avium,0.00498700157754132
FMT.0217K,Enterococcus_casseliflavus,0.29970494933979214
FMT.0217K,Enterococcus_durans,0.011765385923799793
FMT.0217K,Enterococcus_faecalis,0.011616086478281929
FMT.0217K,Enterococcus_faecium,0.2822068016321019
FMT.0217K,Enterococcus_gallinarum,0.10670256591839004
FMT.0217K,Enterococcus_gilvus,0.001998380448469001
FMT.0217K,Enterococcus_mundtii,1.1676522219979568e-4
FMT.0229K,Enterococcus_casseliflavus,9.009945343674679e-5
FMT.0229K,Enterococcus_faecium,1.182480143235275e-4
FMT.0229K,Enterococcus_gallinarum,0.47590507246690605
FMT.0231D,Enterococcus_faecalis,0.30513493093106
FMT.0237B,Enterococcus_avium,1.8253347989789282e-4
FMT.0237B,Enterococcus_casseliflavus,5.998267328089396e-6
FMT.0237B,Enterococcus_faecium,9.411074600967846e-6
FMT.0237C,Enterococcus_avium,8.999997300000803e-7
FMT.0237E,Enterococcus_casseliflavus,0.007088321825069476
FMT.0237E,Enterococcus_faecium,5.394701878240559e-4
FMT.0237F,Enterococcus_casseliflavus,0.13516177431372897
FMT.0237F,Enterococcus_faecium,0.3123144117417868
FMT.0237G,Enterococcus_aquimarinus,8.850915517278513e-5
FMT.0237G,Enterococcus_casseliflavus,0.2009188265061581
FMT.0237G,Enterococcus_faecium,0.35822620437000724
FMT.0237H,Enterococcus_casseliflavus,0.20623022137223332
FMT.0237H,Enterococcus_durans,6.724269697936531e-6
FMT.0237H,Enterococcus_faecalis,1.7854095404865962e-5
FMT.0237H,Enterococcus_faecium,0.48102295155557867
FMT.0237I,Enterococcus_avium,0.08571477428556773
FMT.0237I,Enterococcus_casseliflavus,0.06417888074633579
FMT.0237I,Enterococcus_faecalis,0.03179789046063287
FMT.0237I,Enterococcus_faecium,0.04533128640061409
FMT.0237I,Enterococcus_gallinarum,0.0033889989833003056
FMT.0237I,Enterococcus_hirae,0.038207188537843446
FMT.0237I,Enterococcus_mundtii,0.0010148996955300915
FMT.0237J,Enterococcus_avium,0.03775829081369241
FMT.0237J,Enterococcus_casseliflavus,0.018665962074018345
FMT.0237J,Enterococcus_faecalis,0.008544916660245011
FMT.0237J,Enterococcus_faecium,0.013110332435009179
FMT.0237J,Enterococcus_gallinarum,0.002558081984893191
FMT.0237J,Enterococcus_hirae,0.007393856472919819
FMT.0237J,Enterococcus_mundtii,2.810975360066237e-4
FMT.0240C,Enterococcus_faecium,6.787152228729439e-5
FMT.0240G,Enterococcus_faecium,1.788022972377524e-5
FMT.0240M,Enterococcus_faecium,1.8279976114164546e-5
FMT.0244N,Enterococcus_faecalis,8.551871443936111e-5
FMT.0244O,Enterococcus_faecalis,3.0803772365522525e-4
FMT.0248H,Enterococcus_faecium,4.1492809022748054e-5
FMT.0248I,Enterococcus_faecalis,6.0418672004121074e-5
FMT.0248I,Enterococcus_faecium,7.511510573485322e-6
